               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 139,            0.014993,           0.0056515,                   0,              0.9489,                   1,             0.99262,             0.75148,            0.021193,           0.0033903,                   0,            0.005446,            0.005446,            0.005446
                 140,             0.02497,           0.0052195,                   0,             0.94874,                   1,             0.99262,             0.73584,            0.020471,           0.0034609,                   0,            0.005413,            0.005413,            0.005413
                 141,            0.020641,            0.005159,                   0,             0.94965,                   1,             0.99262,             0.78804,            0.019058,           0.0034599,                   0,             0.00538,             0.00538,             0.00538
                 142,            0.019028,           0.0054967,                   0,             0.94976,                   1,             0.99262,              0.8043,            0.018149,           0.0034332,                   0,            0.005347,            0.005347,            0.005347
                 143,            0.017556,           0.0061707,                   0,             0.94994,                   1,             0.99262,              0.7617,            0.018106,            0.003511,                   0,            0.005314,            0.005314,            0.005314
                 144,            0.020014,           0.0059199,                   0,             0.95008,                   1,             0.99262,              0.8003,            0.017206,           0.0033541,                   0,            0.005281,            0.005281,            0.005281
                 145,            0.020123,           0.0052277,                   0,             0.94995,                   1,             0.99262,             0.78761,            0.018076,           0.0034099,                   0,            0.005248,            0.005248,            0.005248
                 146,            0.018992,           0.0051671,                   0,             0.95003,                   1,             0.99262,              0.8272,            0.016562,           0.0033579,                   0,            0.005215,            0.005215,            0.005215
                 147,            0.016176,           0.0052362,                   0,             0.95089,                   1,             0.99262,             0.75797,             0.02135,           0.0035434,                   0,            0.005182,            0.005182,            0.005182
                 148,            0.022256,           0.0055466,                   0,              0.9506,                   1,             0.99262,             0.82489,            0.019798,           0.0035353,                   0,            0.005149,            0.005149,            0.005149
                 149,            0.020228,             0.00576,                   0,             0.95234,              0.9991,             0.99262,             0.79832,            0.016997,           0.0033731,                   0,            0.005116,            0.005116,            0.005116
                 150,            0.018929,           0.0059081,                   0,             0.95114,                   1,             0.99262,             0.83609,            0.017332,           0.0034132,                   0,            0.005083,            0.005083,            0.005083
                 151,            0.016433,            0.005197,                   0,             0.98169,                0.95,             0.99045,             0.80237,            0.023853,           0.0036168,                   0,             0.00505,             0.00505,             0.00505
                 152,            0.023998,           0.0056337,                   0,             0.95234,              0.9991,             0.99262,             0.80056,            0.018126,           0.0034828,                   0,            0.005017,            0.005017,            0.005017
                 153,            0.018388,           0.0058119,                   0,             0.95228,             0.99797,             0.99262,             0.80518,            0.017664,           0.0033798,                   0,            0.004984,            0.004984,            0.004984
                 154,             0.01543,           0.0049954,                   0,             0.95229,             0.99803,             0.99262,             0.80545,            0.016403,           0.0033245,                   0,            0.004951,            0.004951,            0.004951
                 155,            0.014623,           0.0052602,                   0,             0.95227,             0.99769,             0.99262,             0.77565,            0.017729,           0.0033259,                   0,            0.004918,            0.004918,            0.004918
                 156,            0.020177,           0.0056114,                   0,             0.98489,                0.95,             0.99045,             0.79922,            0.018751,           0.0034418,                   0,            0.004885,            0.004885,            0.004885
                 157,            0.020451,           0.0052643,                   0,               0.952,                   1,             0.99262,             0.83971,            0.016504,            0.003336,                   0,            0.004852,            0.004852,            0.004852
                 158,            0.017607,           0.0058553,                   0,             0.95186,                   1,             0.99262,             0.78227,            0.018053,           0.0033951,                   0,            0.004819,            0.004819,            0.004819
                 159,            0.016449,           0.0047739,                   0,              0.9523,             0.99833,             0.99262,             0.71624,            0.021023,           0.0033703,                   0,            0.004786,            0.004786,            0.004786
                 160,            0.022291,           0.0052088,                   0,             0.95238,                   1,             0.99262,             0.78177,            0.019184,           0.0034289,                   0,            0.004753,            0.004753,            0.004753
                 161,             0.02018,           0.0050961,                   0,             0.95237,             0.99971,             0.99262,             0.84674,            0.017254,           0.0034523,                   0,             0.00472,             0.00472,             0.00472
                 162,            0.017788,           0.0050396,                   0,             0.95234,              0.9992,             0.99262,             0.79813,            0.018364,           0.0035095,                   0,            0.004687,            0.004687,            0.004687
                 163,            0.015456,           0.0056565,                   0,             0.95193,                   1,             0.99262,             0.76325,             0.02171,           0.0035973,                   0,            0.004654,            0.004654,            0.004654
                 164,            0.022871,           0.0053301,                   0,              0.9512,                   1,             0.99262,             0.83403,            0.016841,           0.0035014,                   0,            0.004621,            0.004621,            0.004621
                 165,            0.017593,           0.0057666,                   0,             0.95073,                   1,             0.99262,             0.81648,             0.01741,           0.0035944,                   0,            0.004588,            0.004588,            0.004588
                 166,            0.018459,           0.0054031,                   0,             0.95063,                   1,             0.99262,             0.81332,            0.017805,           0.0035872,                   0,            0.004555,            0.004555,            0.004555
                 167,            0.016968,           0.0053357,                   0,             0.94986,                   1,             0.99262,             0.78641,            0.018019,           0.0034738,                   0,            0.004522,            0.004522,            0.004522
                 168,            0.020145,           0.0056941,                   0,              0.9501,                   1,             0.99262,             0.83583,            0.016483,           0.0033288,                   0,            0.004489,            0.004489,            0.004489
                 169,            0.014961,           0.0045759,                   0,             0.94993,                   1,             0.99262,             0.82282,            0.016958,           0.0033469,                   0,            0.004456,            0.004456,            0.004456
